physical_quantity,power
type,active
2023-08-06 00:53:20,0.050732
2023-08-06 00:53:36,0.050995
2023-08-06 00:53:52,0.051219
2023-08-06 00:54:08,0.051032
2023-08-06 00:54:24,0.050588
2023-08-06 00:54:40,0.101929
2023-08-06 00:54:56,0.099305
2023-08-06 00:55:14,0.099995
2023-08-06 00:55:28,0.099774
2023-08-06 00:55:45,0.098748
2023-08-06 00:56:00,0.097101
2023-08-06 00:56:17,0.096994
2023-08-06 00:56:32,0.097194
2023-08-06 00:56:49,0.097468
2023-08-06 00:57:05,0.096486
2023-08-06 00:57:21,0.096942
2023-08-06 00:57:36,0.096314
2023-08-06 00:57:52,0.096497
2023-08-06 00:58:08,0.096679
2023-08-06 00:58:26,0.096208
2023-08-06 00:58:40,0.096357
2023-08-06 00:58:57,0.09648
2023-08-06 00:59:12,0.096478
2023-08-06 00:59:29,0.096496
2023-08-06 00:59:44,0.097047
2023-08-06 01:00:01,0.096741
2023-08-06 01:00:16,0.103317
2023-08-06 01:00:33,0.10375
2023-08-06 01:00:48,0.104164
2023-08-06 01:01:04,0.10354
2023-08-06 01:01:20,0.103498
2023-08-06 01:01:36,0.103916
2023-08-06 01:01:51,0.103271
2023-08-06 01:02:08,0.103513
2023-08-06 01:02:24,0.10365
2023-08-06 01:02:40,0.102718
2023-08-06 01:02:55,0.103409
2023-08-06 01:03:12,0.103376
2023-08-06 01:03:27,0.102893
2023-08-06 01:03:44,0.102791
2023-08-06 01:03:59,0.103025
2023-08-06 01:04:17,0.095941
2023-08-06 01:04:31,0.095943
2023-08-06 01:04:48,0.095189
2023-08-06 01:05:03,0.095297
2023-08-06 01:05:20,0.095249
2023-08-06 01:05:35,0.095154
2023-08-06 01:05:52,0.095647
2023-08-06 01:06:07,0.094755
2023-08-06 01:06:23,0.09501
2023-08-06 01:06:39,0.095221
2023-08-06 01:06:55,0.095175
2023-08-06 01:07:12,0.155128
2023-08-06 01:07:27,0.147019
2023-08-06 01:07:44,0.144518
2023-08-06 01:08:00,0.14531
2023-08-06 01:08:15,0.145284
2023-08-06 01:08:31,0.146893
2023-08-06 01:08:47,0.1471
2023-08-06 01:09:03,0.148376
2023-08-06 01:09:18,0.148034
2023-08-06 01:09:36,0.147875
2023-08-06 01:09:50,0.148207
2023-08-06 01:10:07,0.147537
2023-08-06 01:10:22,0.147328
2023-08-06 01:10:39,0.147372
2023-08-06 01:10:54,0.094922
2023-08-06 01:11:11,0.094056
2023-08-06 01:11:26,0.09415
2023-08-06 01:11:43,0.094524
2023-08-06 01:11:58,0.094228
2023-08-06 01:12:16,0.093872
2023-08-06 01:12:30,0.094244
